,precision,recall,f1-score,support
Post-30s,0.7250029032632679,0.6830415754923413,0.7033969917187765,9140.0
Pre-30s,0.7477799059724882,0.7838824495756138,0.7654056944258789,10957.0
accuracy,0.7380206000895656,0.7380206000895656,0.7380206000895656,0.7380206000895656
macro avg,0.7363914046178781,0.7334620125339776,0.7344013430723277,20097.0
weighted avg,0.7374210561559846,0.7380206000895656,0.7372044931150905,20097.0
