,precision,recall,f1-score,support
Post-30s,0.5574716592236345,0.8877461706783369,0.6848702257860309,9140.0
Pre-30s,0.8148682785997835,0.41215661221137173,0.5474271167949573,10957.0
accuracy,0.6284520077623525,0.6284520077623525,0.6284520077623525,0.6284520077623525
macro avg,0.686169968911709,0.6499513914448544,0.616148671290494,20097.0
weighted avg,0.6978057766791983,0.6284520077623525,0.6099354521772736,20097.0
